Product Name,Brand,Price,Discount,Link,Image
NanoCare Whitening,White Pearl,141.0,0,https://www.notino.cz/white-pearl/nanocare-whitening-zubni-pasta-s-nanocasticemi-zlata-a-aktivniho-uhli/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069332834_02__170922.jpg
Sensitive Professional Gentle Whitening,Elmex,141.0,0,https://www.notino.cz/elmex/sensitive-professional-gentle-whitening-belici-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//elmex/8718951070905_11-o__160804.jpg
Paroex,G.U.M,176.0,0,https://www.notino.cz/gum/paroex-zubni-gel-proti-parodontoze/,https://cdn.notinoimg.com/list_2k//gum/gumparu_ktps20__131107.jpg
Kids 2+,Curaprox,234.67,0,https://www.notino.cz/curaprox/kids-2-strawberry-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429473_01-o__220225.jpg
Max White Charcoal,Colgate,143.0,0,https://www.notino.cz/colgate/max-white-charcoal-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8590232000722_01-o__221128.jpg
Biomed Sensitive,Splat,286.0,0,https://www.notino.cz/splat/biomed-sensitive-bioaktivni-zubni-pasta-pro-snizeni-citlivosti-zubu-a-zdrave-dasne/,https://cdn.notinoimg.com/list_2k//splat/2800015078371_01-o__220908.jpg
Professional Enamel Regeneration,Oral B,101.0,-20.0,https://www.notino.cz/oral-b/professional-regenerate-enamel-gentle-whitening-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//oral-b/8001090247582_01-o__220817.jpg
Parodont Expert,Meridol,134.67,-15.0,https://www.notino.cz/meridol/parodont-expert-zubni-pasta-proti-krvaceni-dasni-a-parodontoze-297934/,https://cdn.notinoimg.com/list_2k//meridol/8718951132771_01-o__230807.jpg
Orange Blossom Bloom,Marvis,172.0,-15.0,https://www.notino.cz/marvis/marvis-orange-blossom-bloom-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111626_01-o__190911.jpg
Biomed Gum Health,Splat,229.33,-15.0,https://www.notino.cz/splat/biomed-gum-health-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/2800015078395_01-o__220908.jpg
Enzycal 950,Curaprox,205.0,-15.0,https://www.notino.cz/curaprox/enzycal-950-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412422436_01-o__150224.jpg
Biomed Citrus Fresh,Splat,273.33,-15.0,https://www.notino.cz/splat/biomed-citrus-fresh-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//splat/2800015078364_01-o__220908.jpg
Antiplaca,DentYucral,94.0,-15.0,https://www.notino.cz/dentyucral/antiplaca-belici-zubni-pudr/,https://cdn.notinoimg.com/list_2k//dentyucral/8470002079021_01-o__220818.jpg
Anti-Caries Professional,Elmex,94.0,-15.0,https://www.notino.cz/elmex/anti-caries-professional-zubni-pasta-chranici-pred-zubnim-kazem/,https://cdn.notinoimg.com/list_2k//elmex/8718951279551_01-o__220203.jpg
Professional Ultracomplex,Splat,142.0,-15.0,https://www.notino.cz/splat/professional-ultracomplex-bioaktivni-zubni-pasta-pro-komplexni-peci-a-beleni-citlivych-zubu/,https://cdn.notinoimg.com/list_2k//splat/7640168930172_01-o__220909.jpg
Gentle,Swissdent,189.33,-20.0,https://www.notino.cz/swissdent/gentle-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/7640126190020_01-o_02__130304.jpg
Gum Protection Whitening,Meridol,96.0,-20.0,https://www.notino.cz/meridol/dental-care-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//meridol/8718951560352_01-o__230807.jpg
Herbal Fresh,Signal,96.0,0,https://www.notino.cz/signal/herbal-fresh-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/sighrfu_ktps05__150511.jpg
Black is White,Curaprox,113.0,0,https://www.notino.cz/curaprox/black-is-white-belici-pasta-s-aktivnim-uhlim-a-hydroxyapatitem/,https://cdn.notinoimg.com/list_2k//curaprox/7612412423822_01-o__170127.jpg
Smile Aloe Vera,White Pearl,226.0,0,https://www.notino.cz/white-pearl/smile-aloe-vera-zubni-pasta-pro-zdrave-zuby-a-dasne/,https://cdn.notinoimg.com/list_2k//white-pearl/whpalow_ktps10_01__150611.jpg
Sensi-Relief,MEDIBLANC,148.0,0,https://www.notino.cz/mediblanc/sensi-relief-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275382412-o__221027.jpg
Natural Extracts Aloe Vera,Colgate,197.33,0,https://www.notino.cz/colgate/natural-extracts-aloe-vera-bylinna-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/6920354835834_01-o__230630.jpg
Extra Fresh and Remineralising,Ecodenta,105.0,0,https://www.notino.cz/ecodenta/extra-fresh-and-remineralising-remineralizacni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001004913_01__220606.jpg
Pronamel Daily Protection,Sensodyne,105.0,0,https://www.notino.cz/sensodyne/pro-namel-zubni-pasta-chranici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518572138_01-o__221027.jpg
NanoCare,White Pearl,188.0,0,https://www.notino.cz/white-pearl/nanocare-zubni-pasta/,https://cdn.notinoimg.com/list_2k//white-pearl/whpnanw_ktps10_01__150609.jpg
Caries Protection Whitening,Elmex,419.0,0,https://www.notino.cz/elmex/caries-protection-whitening-belici-zubni-pasta-s-fluoridem/,https://cdn.notinoimg.com/list_2k//elmex/8718951240858_11-o__190416.jpg
Glo Express White,White Glo,98.0,0,https://www.notino.cz/white-glo/charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002770_01-o__231109.jpg
Sensitivity & Gum Whitening,Sensodyne,130.67,0,https://www.notino.cz/sensodyne/sensitivity-gum-whitening-belici-zubni-pasta-pro-ochranu-zubu-a-dasni-577855/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563050816_01-o__210908.jpg
ADS DNA 720,Curasept,32.0,0,https://www.notino.cz/curasept/ads-dna-720-gelova-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curasept/8056746073411_01-o__240503.jpg
Natural Toothpaste White,BEN&ANNA,42.67,0,https://www.notino.cz/benanna/natural-toothpaste-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//benanna/4260491220516_01-o__221101.jpg
