Product Name,Brand,Price,Link,Image
Original White,G.U.M,96,https://www.notino.cz/gum/original-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//gum/gumorwu_ktps10__131106.jpg
Natural,Jack N’ Jill,134,https://www.notino.cz/jack-n-jill/natural-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg
Mintperfekt Activ,Ziaja,49,https://www.notino.cz/ziaja/mintperfekt-activ-remineralizujici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ziaja/5901887039921-o__170327.jpg
Teeth,NUK,165,https://www.notino.cz/nuk/teeth-sada-zubni-pecepro-deti/,https://cdn.notinoimg.com/list_2k//nuk/4008600215769_01__210818.jpg
Natural Siberian 7 Northern Herbs,Natura Siberica,90,https://www.notino.cz/natura-siberica/natura-siberica-natural-siberian-7-northern-herbs-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437531_01-o__190709.jpg
Professional Choice,White Glo,18,https://www.notino.cz/white-glo/professional-choice-belici-zubni-pasta-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg
Kids 0-6,Biorepair,67,https://www.notino.cz/biorepair/junior-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg
Natural Siberian Siberian Pearl,Natura Siberica,73,https://www.notino.cz/natura-siberica/natural-siberian-siberian-pearl-belici-zubni-pasta-pro-svezi-dech/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437548_01-o__190611.jpg
Tooth Mousse,GC,494,https://www.notino.cz/gc/tooth-mousse-tutti-frutti-remineralizacni-ochranny-krem-pro-citlive-zuby-bez-fluoridu/,https://cdn.notinoimg.com/list_2k//gc/2800011949248_01-o__160324.jpg
Whitening Mint,Marvis,104,https://www.notino.cz/marvis/whitening-mint-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg
Caries Protection,Elmex,110,https://www.notino.cz/elmex/caries-protection-zubni-pasta-chranici-pred-zubnim-kazem-s-fluoridem-73186/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg
Sensitive Whitening,Elmex,79,https://www.notino.cz/elmex/sensitive-whitening-pasta-pro-prirozene-bile-zuby-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg
Junior 6-12 Years,Elmex,130,https://www.notino.cz/elmex/junior-6-12-years-zubni-pasta-pro-deti-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg
Expert Black Whitening,Ecodenta,63,https://www.notino.cz/ecodenta/extra-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg
Total Whitening XL,Colgate,113,https://www.notino.cz/colgate/total-whitening-xl-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8714789710358_01-o__240404.jpg
Always Smiling Blue,Chicco,318,https://www.notino.cz/chicco/always-smiling-blue-sada-zubni-pece-12-mpro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8058664047383_01__231124.jpg
Always Smiling Green,Chicco,349,https://www.notino.cz/chicco/always-smiling-green-sada-zubni-pece-strawberrypro-deti/,https://cdn.notinoimg.com/list_2k//chicco/8058664022649_01__231124.jpg
NanoCare Kids,White Pearl,115,https://www.notino.cz/white-pearl/white-pearl-nanocare-kids-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//white-pearl/8594069332964_01-o__190710.jpg
Herbal+ Toothpaste,WOOM,136,https://www.notino.cz/woom/herbal-toothbrush-bylinna-zubni-pasta/,https://cdn.notinoimg.com/list_2k//woom/4751033920228_01-o__220629.jpg
Spiderman Travel Kit,Marvel,102,https://www.notino.cz/marvel/spiderman-travel-kit-sada-zubni-pece-pro-deti/,https://cdn.notinoimg.com/list_2k//marvel/8032979436902_01__220725.jpg
